56699,59311,56503,51519,63877,71207,72873
56344,58946,56172,51691,63097,69927,70800
54707,58107,55038,50374,61042,67190,68788
50528,54677,50982,45719,55111,60989,63444
46649,52211,48769,41983,49350,54053,57771
43087,48245,45638,38409,44502,48626,53306
41600,46471,43542,36263,42281,46254,50981
40738,44999,42419,34537,40572,45168,49449
40128,44588,41713,33949,39373,44329,48865
39556,43992,41143,33664,39224,44092,48510
39530,43840,41621,33673,39535,44220,48839
41286,45131,43533,36676,42188,47832,53160
43644,47293,46768,40942,46609,52786,59062
48711,53606,52899,46704,52995,59651,66020
52409,58639,56539,50677,60238,65476,70128
53948,60411,57358,51921,63043,66850,72049
54240,60561,57201,51939,62952,66198,71624
50388,56811,52529,46633,57237,59489,63736
48128,54915,50428,43916,54501,56564,60869
48128,55373,50954,44605,54052,56700,61405
48067,55481,51593,45541,55718,57462,62873
50534,56963,53007,47741,59114,60582,66529
54148,60361,56822,52292,63799,65734,72222
53347,58498,55645,51667,63245,66220,68386
54049,59700,56383,52770,63510,68550,71781
53342,59580,55480,52031,62459,68018,70474
52662,58657,54343,51056,60944,66956,68340
49324,55454,50451,46274,55643,61680,63155
46158,52342,48294,42160,49169,55697,57537
42869,48713,45400,38731,43965,50046,51155
40672,46363,43504,36578,41276,47379,49226
39526,44870,42282,35543,39859,45961,49742
38812,43878,41734,34355,39310,45259,46785
38540,43525,41244,34186,38650,44501,48699
38882,43589,41257,34358,38932,45052,49232
40325,44595,43303,36816,42002,48932,53250
42964,46368,46911,41572,46696,54409,59519
48181,52188,51859,46946,53512,60820,59498
51965,56306,54558,50699,59230,65555,70742
53536,57693,56467,51416,60818,66919,71962
53694,57895,56867,51398,60971,66946,71883
50316,54199,52191,45678,54539,60165,64269
48433,52673,50011,43008,52232,57403,61931
48663,53296,50581,43643,52398,57728,62296
48913,53482,50959,44373,52897,58304,64006
51120,55408,53410,46444,55478,61285,67294
54491,58986,57520,50598,60155,67288,73272
53182,56950,56056,50441,60186,67521,72850
54561,58849,56580,52199,60348,68773,72191
53905,58853,55412,51811,59530,68544,70891
53179,57654,53629,50709,60180,67075,68860
50301,53869,49821,45927,55910,62424,63428
